Artist	Album	Year	Genre	Style	Ratings
Mouse on Mars	Idiology	2001	Electronic	Leftfield	9,6
The Avalanches	Since I Left You	2001	Electronic	Leftfield	9,5
Max Tundra	Mastered by the Guy at the Exchange	2002	Electronic	Leftfield	9,3
The Notwist	Neon Golden	2002	Electronic	Leftfield	9,2
M83	Dead Cities, Red Seas & Lost Ghosts	2003	Electronic	Leftfield	9,2
LCD Soundsystem	Sound of Silver	2007	Electronic	Leftfield	9,2
TV on the Radio	Dear Science	2008	Electronic	Leftfield	9,2
LCD Soundsystem	This Is Happening	2010	Electronic	Leftfield	9,2
Hercules and Love Affair	Hercules and Love Affair	2008	Electronic	Leftfield	9,1
The Books	Thought for Food	2002	Electronic	Leftfield	9
Various Artists	DFA Compilation #2	2004	Electronic	Leftfield	9
James Blake	James Blake	2011	Electronic	Leftfield	9
Parsley Sound	Parsley Sounds	2003	Electronic	Leftfield	8,8
Saint Etienne	London Conversations: The Best of Saint Etienne	2008	Electronic	Leftfield	8,8
DJ /rupture	Uproot	2008	Electronic	Leftfield	8,8
Dorine Muraille	Mani	2003	Electronic	Leftfield	8,7
Various Artists	Mutant Disco	2003	Electronic	Leftfield	8,7
Of Montreal	Hissing Fauna, Are You the Destroyer?	2007	Electronic	Leftfield	8,7
The Field	Cupid's Head	2013	Electronic	Leftfield	8,7
Badly Drawn Boy	The Hour of Bewilderbeast	2000	Electronic	Leftfield	8,6
Posthuman	The Uncertainty of the Monkey	2001	Electronic	Leftfield	8,6
Manitoba	Up in Flames	2003	Electronic	Leftfield	8,6
Stina Nordenstam	The World Is Saved	2004	Electronic	Leftfield	8,6
M83	Before the Dawn Heals Us	2005	Electronic	Leftfield	8,6
Manual	Ascend	2002	Electronic	Leftfield	8,5
Earlimart	Everyone Down Here	2003	Electronic	Leftfield	8,5
Pluramon	Dreams Top Rock	2003	Electronic	Leftfield	8,5
Diplo / M.I.A.	Piracy Funds Terrorism, Vol. 1	2004	Electronic	Leftfield	8,5
Caribou	The Milk of Human Kindness	2005	Electronic	Leftfield	8,5
David Byrne / Brian Eno	My Life in the Bush of Ghosts	2006	Electronic	Leftfield	8,5
Various Production	The World Is Gone	2006	Electronic	Leftfield	8,5
Liars	Liars	2007	Electronic	Leftfield	8,5
YACHT	See Mystery Lights	2009	Electronic	Leftfield	8,5
Gorillaz	Plastic Beach	2010	Electronic	Leftfield	8,5
Plaid	Rest Proof Clockwork	1999	Electronic	Leftfield	8,4
Boredoms	Rebore, Vol. 0: Vision Recreation	2001	Electronic	Leftfield	8,4
The Soft Pink Truth	Do You Party?	2003	Electronic	Leftfield	8,4
Various Artists	New York Noise	2003	Electronic	Leftfield	8,4
The Books	The Lemon of Pink	2003	Electronic	Leftfield	8,4
Colleen	Everyone Alive Wants Answers	2003	Electronic	Leftfield	8,4
Stars	Set Yourself on Fire	2004	Electronic	Leftfield	8,4
Bjƒ¦rk	Medulla	2004	Electronic	Leftfield	8,4
Arthur Russell	World of Echo	2004	Electronic	Leftfield	8,4
Mylo	Destroy Rock and Roll	2006	Electronic	Leftfield	8,4
Nathan Fake	Drowning in a Sea of Love	2006	Electronic	Leftfield	8,4
Kalabrese	Rumpelzirkus	2007	Electronic	Leftfield	8,4
How to Dress Well	Total Loss	2012	Electronic	Leftfield	8,4
Fog	Fog	2002	Electronic	Leftfield	8,3
A Sunny Day in Glasgow	Ashes Grammar	2009	Electronic	Leftfield	8,3
Toro Y Moi	Underneath the Pine	2011	Electronic	Leftfield	8,3
Meanest Man Contest	Merit	2003	Electronic	Leftfield	8,2
Four Tet	Rounds	2003	Electronic	Leftfield	8,2
Broadcast	Haha Sound	2003	Electronic	Leftfield	8,2
Mils	Le Grand Pic Mou	2003	Electronic	Leftfield	8,2
Architecture in Helsinki	Fingers Crossed	2004	Electronic	Leftfield	8,2
Erlend ƒ˜ye	DJ Kicks	2004	Electronic	Leftfield	8,2
Homelife	Guru Man Hubcap Lady	2004	Electronic	Leftfield	8,2
Akufen	Fabric 17	2004	Electronic	Leftfield	8,2
Optimo	Psyche Out	2005	Electronic	Leftfield	8,2
Clor	Clor	2005	Electronic	Leftfield	8,2
Jason Forrest	Shamelessly Exciting	2005	Electronic	Leftfield	8,2
Soulwax	Nite Versions	2005	Electronic	Leftfield	8,2
Various Artists	The DFA Remixes: Chapter One	2006	Electronic	Leftfield	8,2
