Artist,Album,Genre,Style,Year,Ratings
Anna Homler / Steve Moshier,Breadwoman & Other Tales,Electronic,Experimental,2016, 8.1 
Seth Bogart,Seth Bogart,None,None,2016, 8.0 
Moodymann,DJ-Kicks,Electronic,Soul,2016, 8.4 
Kanye West,The Life of Pablo,Hip Hop,None,2016, 9.0 
Pinegrove,Cardinal,Rock,Folk Rock,2016, 8.0 
School of Seven Bells,SVIIB,None,None,2016, 8.1 
Vic Spencer / Chris Crack,Who the Fuck Is Chris Spencer??,None,None,2016, 8.1 
Porches,Pool,Electronic,Synth-pop,2016, 8.3 
Nap Eyes,Thought Rock Fish Scale,Rock,None,2016, 8.0 
Junior Boys,Big Black Coat,Electronic,Synth-pop,2016, 8.0 
Various Artists,Still in a Dream: A Story of Shoegaze 1988-1995,Rock,Shoegaze,2016, 8.0 
Black Tusk,Pillars of Ash,Rock,Stoner Rock,2016, 8.2 
DIIV,Is the Is Are,Rock,Lo-Fi,2016, 8.1 
African Head Charge,My Life in a Hole in the Ground,Electronic,Dub,2016, 8.2 
Lucinda Williams,The Ghosts of Highway 20,Rock,Country,2016, 8.0 
Lee Hazlewood,The Very Special World of Lee Hazlewood,None,None,2016, 8.4 
Roly Porter,Third Law,Electronic,Experimental,2016, 8.0 
Various Artists,The Sound of Durban Vol. 1,None,None,2016, 8.1 
Adrian Younge,Something About April II,Funk / Soul,Psychedelic,2016, 8.0 
Number Girl,School Girl Distortional Addict,None,None,2016, 8.3 
Savages,Adore Life,Rock,Post-Punk,2016, 8.0 
Krallice,Hyperion EP,None,None,2016, 8.3 
Anderson .Paak,Malibu,Hip Hop,None,2016, 8.6 
David Bowie,Blackstar,Rock,None,2016, 8.5 
Various Artists,Brawther & Alixkun Present Once Upon a Time in Japan,None,None,2015, 8.0 
Tindersticks,The Waiting Room,Electronic,Experimental,2015, 8.0 
Albert Ayler,Bells/Prophecy,Jazz,Free Jazz,2015, 8.4 
craw,1993-1997,Rock,None,2015, 8.3 
Mikael Tariverdiev,Film Music,Stage & Screen,None,2015, 8.0 
Kyle Hall,From Joy,Electronic,House,2015, 8.2 
Ennio Morricone,The Hateful Eight OST,None,None,2015, 8.0 
Pusha T,Darkest Before Dawn,Hip Hop,None,2015, 8.2 
Archy Marshall,A New Place 2 Drown,Electronic,Experimental,2015, 8.6 
Baroness,Purple,Rock,Stoner Rock,2015, 8.5 
Jeremih,Late Nights: The Album,Hip Hop,Contemporary R&B,2015, 8.3 
The Velvet Underground,The Complete Matrix Tapes,Rock,Avantgarde,2015, 8.5 
Zora Jones,100 Ladies EP,None,None,2015, 8.0 
Swans,White Light from the Mouth of Infinity,Rock,Art Rock,2015, 7.9 
Erykah Badu,But You Caint Use My Phone,Funk / Soul,Contemporary R&B,2015, 8.1 
Paranoid London,Paranoid London,Electronic,House,2015, 8.2 
Beat Happening,Look Around,Rock,Indie Rock,2015, 8.2 
Ty Segall,Ty Rex,Rock,Garage Rock,2015, 8.1 
Horrendous,Anareta,Rock,Death Metal,2015, 8.2 
Kneebody and Daedelus,Kneedelus,Jazz,Fusion,2015, 8.0 
Lotic,Agitations,Electronic,Experimental,2015, 8.2 
Shye Ben Tzur / Jonny Greenwood / The Rajasthan Express,Junun,Electronic,Experimental,2015, 8.0 
Kurt Stenzel,Jodorowsky?s Dune OST,None,None,2015, 8.0 
Arca,Mutant,Electronic,Instrumental,2015, 8.4 
Various Artists,Parallelogram,Rock,Experimental,2015, 8.4 
Grimes,Art Angels,Pop,Industrial,2015, 8.5 
Oneohtrix Point Never,Garden of Delete,Electronic,IDM,2015, 8.7 
Carla Morrison,Amor Supremo,Latin,None,2015, 8.0 
Beach Slang,The Things We Do to Find People Who Feel Like Us,Rock,Punk,2015, 8.0 
Floating Points,Elaenia,Electronic,Contemporary Jazz,2015, 8.4 
Various Artists,[Cease & Desist] DIY! (Cult classics from the Post-Punk era 1978 - 82),Rock,Punk,2015, 8.4 
Car Seat Headrest,Teens of Style,Rock,None,2015, 8.1 
Patrick Cowley,Muscle Up,Electronic,Ambient,2015, 8.1 
Christine and the Queens,Christine and the Queens,Electronic,Synth-pop,2015, 8.0 
VH?L,Deeper Than Sky,Rock,Hardcore,2015, 8.2 
Fran?oise Hardy,Tous Les Gar?ons Et Les Filles,None,None,2015, 8.6 
Gun Outfit,Dream All Over,Rock,None,2015, 8.1 
Joanna Newsom,Divers,Folk World & Country,Folk,2015, 8.5 
Beach House,Thank Your Lucky Stars,Rock,Ethereal,2015, 8.1 
Neon Indian,VEGA INTL. Night School,Electronic,Dance-pop,2015, 8.6 
Prins Thomas,Paradise Goulash,Electronic,Ambient,2015, 8.0 
Majical Cloudz,Are You Alone?,Electronic,Leftfield,2015, 8.0 
Drive-By Truckers,It?s Great To Be Alive!,Rock,Country Rock,2015, 8.0 
Deerhunter,Fading Frontier,Rock,Indie Rock,2015, 8.4 
Dilly Dally,Sore,Rock,Thrash,2015, 8.0 
Mogwai,Central Belters,Electronic,Post Rock,2015, 8.0 
Protomartyr,The Agent Intellect,Rock,Post-Punk,2015, 8.2 
Kelela,Hallucinogen EP,None,None,2015, 8.3 
Janet Jackson,Unbreakable,Hip Hop,Pop Rap,2015, 8.0 
Jay Rock,90059, Hip Hop,None,2015, 8.0 
David Bowie,Five Years 1969-1973,Rock,Glam,2015, 8.2 
Deafheaven,New Bermuda,Rock,Black Metal,2015, 9.0 
U.S. Girls,Half Free,Electronic,Experimental,2015, 8.0 
Dungen,Allas Sak,Rock,Psychedelic Rock,2015, 8.0 
Kurt Vile,b?lieve i?m goin down,Rock,Indie Rock,2015, 8.4 
